label,T1R1SC1,T1R1SC2,T1R1SC3,T1R1SC4,T1R1SC5,T1R1SC6,T1R1SC7,T1R1SC8,T1R1SC9,T1R1SC10,T1R1SC11,T1R1SC12,T1R1SC13,T1R1SC14,T1R1SC15,T1R1SC16,T1R1SC17,T1R1SC18,T1R1SC19,T1R1SC20,T1R1SC21,T1R1SC22,T1R1SC23,T1R1SC24,T1R1SC25,T1R1SC26,T1R1SC27,T1R1SC28,T1R1SC29,T1R1SC30,T1R2SC1,T1R2SC2,T1R2SC3,T1R2SC4,T1R2SC5,T1R2SC6,T1R2SC7,T1R2SC8,T1R2SC9,T1R2SC10,T1R2SC11,T1R2SC12,T1R2SC13,T1R2SC14,T1R2SC15,T1R2SC16,T1R2SC17,T1R2SC18,T1R2SC19,T1R2SC20,T1R2SC21,T1R2SC22,T1R2SC23,T1R2SC24,T1R2SC25,T1R2SC26,T1R2SC27,T1R2SC28,T1R2SC29,T1R2SC30,T1R3SC1,T1R3SC2,T1R3SC3,T1R3SC4,T1R3SC5,T1R3SC6,T1R3SC7,T1R3SC8,T1R3SC9,T1R3SC10,T1R3SC11,T1R3SC12,T1R3SC13,T1R3SC14,T1R3SC15,T1R3SC16,T1R3SC17,T1R3SC18,T1R3SC19,T1R3SC20,T1R3SC21,T1R3SC22,T1R3SC23,T1R3SC24,T1R3SC25,T1R3SC26,T1R3SC27,T1R3SC28,T1R3SC29,T1R3SC30,T2R1SC1,T2R1SC2,T2R1SC3,T2R1SC4,T2R1SC5,T2R1SC6,T2R1SC7,T2R1SC8,T2R1SC9,T2R1SC10,T2R1SC11,T2R1SC12,T2R1SC13,T2R1SC14,T2R1SC15,T2R1SC16,T2R1SC17,T2R1SC18,T2R1SC19,T2R1SC20,T2R1SC21,T2R1SC22,T2R1SC23,T2R1SC24,T2R1SC25,T2R1SC26,T2R1SC27,T2R1SC28,T2R1SC29,T2R1SC30,T2R2SC1,T2R2SC2,T2R2SC3,T2R2SC4,T2R2SC5,T2R2SC6,T2R2SC7,T2R2SC8,T2R2SC9,T2R2SC10,T2R2SC11,T2R2SC12,T2R2SC13,T2R2SC14,T2R2SC15,T2R2SC16,T2R2SC17,T2R2SC18,T2R2SC19,T2R2SC20,T2R2SC21,T2R2SC22,T2R2SC23,T2R2SC24,T2R2SC25,T2R2SC26,T2R2SC27,T2R2SC28,T2R2SC29,T2R2SC30,T2R3SC1,T2R3SC2,T2R3SC3,T2R3SC4,T2R3SC5,T2R3SC6,T2R3SC7,T2R3SC8,T2R3SC9,T2R3SC10,T2R3SC11,T2R3SC12,T2R3SC13,T2R3SC14,T2R3SC15,T2R3SC16,T2R3SC17,T2R3SC18,T2R3SC19,T2R3SC20,T2R3SC21,T2R3SC22,T2R3SC23,T2R3SC24,T2R3SC25,T2R3SC26,T2R3SC27,T2R3SC28,T2R3SC29,T2R3SC30
I1,9-32j,-36-2j,-22+33j,22+31j,45-11j,7-57j,-32-27j,-44+16j,-15+47j,23+41j,46+18j,50-28j,11-56j,-43-49j,-54-25j,-56+29j,-5+61j,44+36j,55-9j,30-34j,-13-42j,-38-23j,-44+9j,-18+41j,30+28j,42-22j,9-35j,-25-19j,-20+19j,9+29j,4+3j,-2-12j,-15-6j,-22+10j,8+19j,22-3j,21-24j,1-17j,-14-8j,-21+9j,-13+25j,6+23j,31-1j,29-31j,21-41j,-16-35j,-34+3j,-24+34j,2+41j,30+21j,27-14j,12-47j,-26-45j,-49-10j,-21+47j,43+35j,52-18j,-1-36j,-35-2j,-16+32j,20-4j,-8-20j,-25-5j,-13+16j,12+23j,30-8j,10-19j,-17-17j,-24+4j,-14+16j,2,21+14j,25+1j,15-19j,7-19j,-15-19j,-24+1j,-11+14j,4+15j,10+14j,17-2j,17-10j,8-22j,-12-19j,-25+3j,-2+27j,20+21j,21-14j,-9-22j,-23+1j,-16-23j,-10+20j,8+17j,35-1j,10-34j,-29-18j,-26+1j,-20+20j,14+25j,20+7j,20+4j,26-22j,-10-29j,-23-15j,-32-9j,-38+24j,2+41j,21+15j,27+3j,27-27j,-7-38j,-27-24j,-37+2j,-27+44j,37+38j,41-15j,12-41j,-33-20j,-24+33j,12+33j,7-21j,-25-2j,-17+19j,13+26j,39-7j,6-30j,-19-22j,-30-7j,-24+14j,-5+26j,14+33j,38+15j,44-24j,11-49j,-12-49j,-51-31j,-62+27j,-19+61j,30+55j,61+15j,52-43j,-3-66j,-48-49j,-85+19j,-16+89j,68+40j,54-38j,-5-55j,-58+4j,-24+47j,3-21j,-17+7j,3,20+15j,18-13j,-9-22j,-11-7j,-12+1j,-2+13j,8+6j,,9+5j,4+0j,-3-2j,3-8j,-7-11j,-12-4j,-10-2j,-12+9j,4+16j,17+6j,21-12j,5-20j,-23-24j,-29+13j,2+28j,26+10j,15-14j,-17-18j,-20+5j
I1,-21+31j,32+15j,31-31j,-11-44j,-64-2j,-29+45j,24+50j,53+17j,45-23j,12-48j,-30-46j,-58-13j,-53+37j,-5+71j,27+63j,63+22j,61-42j,14-59j,-35-51j,-52-9j,-35+30j,-13+44j,30+41j,49+3j,31-41j,-20-43j,-43-2j,-22+34j,27+28j,33-11j,-2+6j,15+4j,9-8j,-6-22j,-20-6j,-16+20j,8+20j,21+4j,20-12j,7-25j,-11-24j,-28-11j,-30+16j,-7+36j,8+39j,42+15j,35-19j,6-45j,-28-26j,-42+3j,-32+27j,1+48j,35+26j,57-15j,15-63j,-50-32j,-38+31j,10+45j,41-1j,21-29j,4-25j,-22-3j,-9+25j,12+22j,30-16j,6-26j,-22-19j,-29+2j,-18+18j,2+23j,19+13j,24-4j,13-21j,-7-26j,-15-17j,-23-6j,-17+19j,-7+21j,15+21j,19+7j,13-3j,16-15j,-7-20j,-21-18j,-31+11j,-2+34j,29+11j,22-22j,-16-25j,-25+2j,9+24j,20-15j,-12-22j,-35-7j,-24+25j,5+26j,31+6j,23-16j,5-13j,-10-25j,-23-16j,-27+5j,-21+24j,6+38j,13+34j,39+9j,30-23j,9-42j,-26-30j,-32-16j,-37+23j,-15+38j,23+38j,48+8j,35-41j,-21-45j,-43+3j,-16+35j,30+32j,36-15j,20+10j,12-23j,-11-21j,-27+4j,-11+35j,26+32j,29-3j,21-21j,2-35j,-19-24j,-36-7j,-35+18j,-15+44j,24+49j,52+41j,64-10j,41-55j,-18-66j,-55-32j,-69+24j,-27+59j,22+70j,69+31j,71-46j,-3-92j,-82-35j,-53+45j,19+52j,62-8j,27-44j,-18-8j,-3+18j,19+2j,18-18j,-4-22j,-12-6j,-13+14j,1+13j,-2+1j,9+2j,9-2j,4-5j,5,-1-7j,3-9j,-7-4j,-7-1j,-9+14j,3+12j,16+18j,20-8j,18-17j,-3-24j,-27-13j,-29+20j,4+31j,24+5j,10-20j,-20-23j,-20+7j
I1,-29+5j,21+35j,40-14j,15-57j,-50-22j,-35+51j,24+55j,53+13j,35-34j,-12-54j,-50-26j,-59+26j,-7+64j,52+48j,72+18j,46-50j,-15-63j,-58-15j,-47+30j,2+53j,33+30j,48-11j,21-45j,-30-42j,-53+6j,-6+47j,35+19j,29-23j,-18-31j,-31+4j,13-3j,-6-9j,-12-1j,7+14j,25+12j,16-11j,-12-21j,-19-1j,-17+19j,3+22j,21+14j,22-10j,8-33j,-28-26j,-38-9j,-32+31j,13+44j,42+17j,34-28j,-5-41j,-37-20j,-41+20j,-5+51j,44+35j,52-41j,-21-56j,-49+7j,-6+42j,41+12j,25-28j,9+16j,15-20j,-17-17j,-37+7j,-3+30j,32+4j,22-24j,-5-31j,-20-11j,-22+15j,-2+25j,23+20j,25-6j,13-24j,-1-30j,-20-15j,-22+5j,-5+16j,9+18j,18+3j,19-6j,4-19j,-15-19j,-24+2j,-14+34j,25+20j,23-17j,-11-26j,-28+7j,-5+23j,-7+21j,29+4j,12-29j,-27-19j,-30+22j,13+33j,30+13j,24-12j,9-29j,-18-15j,-21-6j,-17+21j,8+29j,33+23j,37+5j,21-30j,-14-39j,-39-8j,-31+16j,-8+35j,26+29j,36-7j,22-38j,-28-45j,-51+4j,-11+51j,39+18j,31-29j,-24-29j,-35+9j,-3-26j,-21+13j,8+25j,32+10j,17-28j,-17-29j,-29+8j,-18+29j,13+31j,27+19j,38-14j,17-37j,-19-44j,-55-2j,-59+21j,-21+61j,44+53j,69-9j,34-61j,-29-64j,-66-16j,-57+43j,10+73j,79+30j,68-71j,-48-74j,-65+16j,-5+59j,55+12j,35-41j,16-9j,-14-18j,-21+12j,8+22j,24+0j,4-23j,-9-16j,-10-3j,-12+5j,4+6j,,5-2j,2-4j,5-11j,3-9j,-2-6j,-10-2j,-7+7j,-2+16j,15+13j,20-6j,9-16j,-16-19j,-29+9j,-10+34j,32+14j,16-19j,-16-20j,-19+10j,1+18j
I1,30+9j,1-37j,-36-18j,-31+43j,22+56j,60-4j,28-50j,-31-44j,-47-10j,-38+31j,-1+56j,43+41j,65-7j,27-59j,2-69j,-55-40j,-58+22j,-18+58j,30+46j,52+8j,35-30j,3-47j,-39-31j,-51+11j,-14+49j,39+25j,35-22j,-1-33j,-35-2j,-19+26j,10+4j,-1-13j,-12-5j,-16+7j,13+18j,21-3j,5-21j,-4-19j,-23-7j,-20+14j,-3+23j,22+22j,33-9j,21-35j,2-40j,-35-26j,-46+13j,-10+42j,26+35j,39+1j,28-32j,-8-47j,-43-21j,-46+34j,9+60j,55+9j,21-43j,-30-33j,-35+25j,5+39j,1+19j,21-8j,2-25j,-29-5j,-24+24j,15+29j,31+4j,11-23j,-2-23j,-20-12j,-25+10j,-11+24j,12+26j,22+6j,26-5j,12-22j,-5-18j,-21-8j,-17+7j,-6+18j,6+16j,17+12j,20-8j,9-27j,-22-23j,-26+12j,4+27j,26+10j,11-24j,-15-21j,21-10j,-18-13j,-20+11j,1+26j,29+6j,16-26j,-12-24j,-23-9j,-16+8j,-9+17j,10+20j,23+7j,23-13j,2-26j,-7-27j,-28-16j,-29+16j,-12+31j,18+26j,31+4j,24-16j,13-32j,-24-27j,-38+7j,-10+40j,32+25j,34-16j,-4-33j,-35+1j,-13+23j,1-21j,-23-1j,-10+22j,20+20j,32-9j,3-31j,-18-17j,-24+4j,-20+20j,4+29j,19+21j,34+4j,29-31j,1-46j,-23-46j,-54-5j,-41+39j,13+59j,47+29j,51-17j,21-52j,-34-60j,-61-9j,-49+54j,32+72j,73-5j,18-60j,-38-32j,-38+35j,4+46j,17+5j,-4-16j,-15-3j,-12+15j,13+15j,18-7j,1-15j,-6-10j,-5+0j,-7+3j,-1+7j,2+4j,4+2j,1,2-1j,7-5j,1-7j,-10-11j,-11+1j,-7+10j,5,20+17j,18-7j,5-21j,-21-15j,-21+16j,6+23j,20-1j,1-20j,-9-12j
I1,9-36j,-42+5j,-23+43j,41+45j,66-16j,11-55j,-45-43j,-58+11j,-33+45j,16+53j,47+28j,61-13j,42-61j,-23-68j,-54-48j,-77+8j,-42+60j,21+62j,56+22j,51-16j,20-44j,-14-48j,-47-25j,-54+24j,-6+55j,45+28j,36-25j,-8-40j,-42-6j,-26+21j,2+13j,12+6j,2-9j,-11-9j,-24+10j,-6+29j,20+13j,22-4j,14-17j,-1-26j,-24-19j,-36+6j,-16+38j,15+40j,28+29j,48-12j,26-41j,-13-42j,-41-18j,-41+25j,-17+47j,21+39j,52+8j,42-51j,-23-68j,-62-2j,-21+47j,32+35j,40-26j,5-42j,2+24j,20-14j,2-31j,-34-14j,-32+24j,3+29j,32+13j,24-17j,7-27j,-16-19j,-21-6j,-22+11j,-11+32j,14+24j,24+12j,29-7j,14-23j,-8-20j,-16-9j,-22-1j,-13+10j,-2+21j,16+22j,34+3j,23-28j,-19-31j,-30+4j,-5+26j,28+14j,26-11j,-16-16j,-13+26j,19+20j,28-6j,13-29j,-19-27j,-23+8j,-12+18j,2+17j,12+22j,26+4j,19-16j,15-29j,-16-30j,-28-18j,-32+10j,-11+30j,8+37j,37+15j,31-10j,15-26j,-2-37j,-38-15j,-42+16j,-4+47j,42+24j,34-24j,-3-35j,-37-7j,-24+27j,23+3j,2-20j,-22-10j,-23+17j,4+32j,32+14j,28-13j,8-26j,-11-24j,-30-15j,-35+11j,-21+30j,7+49j,43+31j,54+15j,49-36j,5-55j,-44-47j,-61+6j,-39+49j,-1+62j,49+48j,69-15j,36-68j,-46-67j,-80+15j,-13+62j,40+36j,46-30j,-5-49j,18-2j,-9-20j,-20+1j,-9+20j,10+18j,18+1j,2-14j,-5-10j,-5+0j,-8-4j,-7+3j,2+6j,-4+8j,3+7j,4+5j,7+2j,4-4j,4-12j,-12-9j,-16-3j,-15+6j,-7+21j,16+15j,26-2j,10-26j,-23-21j,-24+12j,1,20+7j,15-16j
I1,26+20j,17-36j,-35-32j,-48+27j,5+61j,64+21j,39-36j,-9-51j,-40-32j,-47+9j,-36+45j,12+59j,59+29j,57-27j,49-55j,-14-65j,-56-25j,-49+28j,-14+48j,25+43j,49+9j,38-22j,2-48j,-41-31j,-55+17j,-4+46j,33+24j,32-18j,-12-32j,-29-7j,11+3j,-1-11j,-8-7j,-14+6j,-1+18j,13+6j,19-12j,6-20j,-15-14j,-24-1j,-13+22j,5+28j,30+19j,38-16j,23-29j,-9-45j,-38-19j,-39+19j,-12+46j,27+33j,42+1j,32-38j,-1-47j,-49-22j,-43+39j,20+56j,51-3j,14-44j,-38-23j,-34+19j,-8+21j,26+1j,8-29j,-27-17j,-28+17j,7+37j,23+11j,19-15j,7-25j,-11-16j,-27-9j,-22+15j,-2+24j,13+19j,27+14j,22-7j,8-19j,-7-16j,-14-10j,-17+4j,-8+16j,3,14+10j,22-7j,4-31j,-23-19j,-27+17j,5+28j,27+1j,14-21j,17-2j,-18-23j,-24+9j,-9+20j,20+18j,30-16j,-1-21j,-16-20j,-27+1j,-11+9j,2,10+21j,25+5j,27-13j,14-27j,-14-30j,-27-11j,-29+12j,-7+29j,15+27j,29+10j,30-13j,7-35j,-25-34j,-46+11j,-5+42j,32+20j,30-18j,-18-32j,-29-2j,14-20j,-18-1j,-14+15j,9+30j,35+1j,10-26j,-8-26j,-23-9j,-20+10j,-16+23j,2+29j,29+21j,43-4j,24-43j,9-44j,-34-40j,-58+4j,-35+47j,11+56j,48+27j,56-15j,26-54j,-31-60j,-73-10j,-41+65j,43+62j,56-10j,13-45j,-43-20j,-36+26j,11+7j,2-23j,-19-6j,-12+6j,4+16j,21+3j,3-11j,-1-13j,-12-10j,3+1j,-2+7j,-2+4j,2,3+9j,5+1j,5-2j,9-5j,3-14j,-7-9j,-13+1j,-12+11j,-2+19j,16+12j,25-10j,-1-28j,-25-11j,-15+15j,10+19j,16-7j,3-16j
I1,-22+30j,27+19j,33-25j,-11-45j,-53-14j,-36+40j,16+46j,51+24j,49-15j,25-41j,-18-50j,-53-30j,-65+13j,-28+57j,-3+59j,55+42j,64-8j,32-42j,-8-50j,-38-31j,-46+3j,-28+32j,3+47j,41+31j,51-16j,7-47j,-31-19j,-32+16j,3+37j,27+17j,4-7j,-14-4j,-6+7j,3+20j,25+9j,18-14j,-3-22j,-16-7j,-20+5j,-11+19j,4+21j,25+16j,32-10j,18-32j,3-37j,-31-27j,-46+3j,-27+35j,10+36j,40+18j,44-10j,25-35j,-15-40j,-61-13j,-50+41j,16+48j,46+2j,17-41j,-34-33j,-38+8j,-24-5j,-7+21j,23+14j,22-14j,-6-29j,-26-10j,-17+14j,0,17+20j,23+5j,17-16j,4-26j,-16-26j,-23-7j,-22+2j,-9+21j,4+20j,11+13j,18+0j,16-12j,7-16j,-5-16j,-20-8j,-29+10j,-7+31j,25+15j,23-11j,-3-27j,-28-7j,-19+18j,-1+23j,24-13j,23,-28-8j,-21+16j,-4+27j,24+15j,15-10j,16-16j,-5-21j,-18-18j,-20-2j,-25+10j,-9+37j,5+35j,24+15j,28-2j,26-27j,-10-34j,-21-16j,-29-4j,-32+22j,5,30+27j,44-12j,12-44j,-34-26j,-27+17j,7+34j,27+11j,-21-7j,-7+18j,16+21j,23-5j,12-27j,-21-29j,-31+2j,-21+14j,-2+21j,7+24j,29+13j,30-7j,26-32j,-5-44j,-26-44j,-51-8j,-46+29j,-10+58j,34+48j,54+7j,47-30j,12-59j,-40-57j,-71+2j,-39+62j,39+66j,62-14j,16-43j,-37-31j,-44+13j,-13+12j,21+5j,11-11j,-12-18j,-18+2j,-11+9j,4+15j,9-2j,10+1j,-1-9j,1-9j,-3-4j,-4-4j,-9+1j,-7+1j,-5+3j,-4+7j,5+14j,12+2j,13-5j,9-13j,-9-23j,-18-10j,-23+16j,1+27j,27+13j,18-21j,-7-16j,-17+1j,-10+13j
I1,-5-36j,-40+13j,14+44j,60+12j,32-62j,-38-45j,-54+24j,-19+57j,36+51j,53+12j,34-45j,-10-62j,-57-30j,-66+32j,-36+66j,31+72j,68+12j,42-45j,-8-55j,-44-28j,-44+21j,-18+44j,28+44j,52-4j,23-54j,-37-36j,-38+17j,2+40j,38+3j,19-30j,10-8j,-12-10j,-10-3j,2+10j,16+12j,19-18j,-3-23j,-18-5j,-11+11j,3+28j,18+21j,30-6j,19-38j,-23-32j,-32-23j,-41+22j,-6+46j,37+31j,47-11j,18-45j,-22-42j,-49-3j,-36+40j,23+55j,68-6j,13-62j,-46-25j,-32+34j,28+39j,38-5j,21-11j,-17-22j,-19+19j,11+37j,40-1j,15-27j,-21-18j,-32+3j,-17+31j,1+29j,23+7j,25-13j,7-23j,-19-26j,-27-4j,-26+17j,-3+26j,14+18j,20+2j,16-13j,1-16j,-15-18j,-25+2j,-14+25j,23+28j,34-12j,32,-30-8j,-13+28j,17+19j,-18-6j,-6+21j,23+9j,13-16j,-13-28j,-29+3j,-10+20j,10+23j,23+9j,23-5j,5-22j,-13-21j,-32-5j,-23+22j,-17+32j,14+32j,30+4j,24-23j,-8-34j,-29-15j,-34+10j,-16+30j,21+30j,42+5j,24-44j,-37-34j,-35+20j,4+34j,40-4j,15-30j,-3-26j,-24+13j,6+25j,30+13j,20-24j,-13-29j,-30-4j,-20+21j,7+26j,24+21j,32-1j,24-28j,-8-44j,-44-22j,-54+0j,-37+49j,23+57j,60+17j,48-37j,56,-46-39j,-63+12j,-26+62j,49+63j,83-25j,-1-76j,-56-21j,-37+37j,35+38j,44-10j,-7-12j,-14+8j,8+16j,13-4j,4-20j,-15-7j,-9+7j,-2+12j,4+12j,5+5j,4-5j,1-5j,-3-7j,-5-5j,-7-5j,-11-1j,-9+7j,3+15j,11+2j,12-9j,2-17j,-12-15j,-19+3j,-12+26j,25+21j,23-20j,-9-21j,-18-1j,1+20j,17+9j
I1,38+0j,-2-36j,-43-15j,-37+36j,31+54j,60-10j,24-54j,-24-50j,-53-4j,-46+42j,-7+63j,43+40j,65-8j,33-61j,5-71j,-54-49j,-68+21j,-25+58j,28+52j,52+16j,41-28j,6-57j,-34-42j,-48+1j,-17+50j,43+37j,47-13j,8-34j,-32-9j,-22+24j,2-4j,-17+5j,-4+14j,11+11j,17-8j,-5-26j,-24-14j,-18+8j,-2+19j,16+19j,29+3j,23-15j,-9-31j,-43-24j,-54-10j,-35+29j,17+36j,54+9j,48-25j,8-39j,-28-23j,-49+12j,-35+46j,14+56j,60-5j,11-65j,-45-37j,-38+19j,19+38j,41+1j,21-11j,-9-20j,-29+3j,-13+29j,28+21j,27-16j,-1-30j,-22-22j,-24+7j,-11+28j,9+29j,23+10j,25-11j,10-22j,-2-22j,-23-13j,-26+11j,-15+20j,5+17j,18+8j,18-7j,10-23j,-4-24j,-22-16j,-24+18j,14+33j,34+2j,15-23j,-23-17j,-23+11j,12-17j,-16-8j,-16+13j,2+32j,33+2j,11-24j,-2-16j,-23-11j,-23+16j,-2+17j,5+23j,30+15j,21-18j,5-23j,-2-30j,-32-26j,-38+18j,-9+27j,7+27j,30+15j,32-20j,1-29j,-15-35j,-48+0j,-16+48j,34+31j,32-8j,5-36j,-40-4j,-17+28j,-24-7j,4+26j,19+8j,24-21j,-10-32j,-29-2j,-20+17j,-1+30j,24+16j,27-1j,20-19j,4-38j,-34-32j,-45+9j,-38+23j,-14+55j,48+50j,63-12j,33-43j,-8-62j,-60-28j,-56+23j,-20+57j,46+63j,86-23j,-3-72j,-46-32j,-49+29j,30+47j,46-1j,-2-16j,-14+6j,3+16j,14+13j,16-15j,-10-16j,-6+1j,-9+3j,-2+13j,7+4j,7+4j,10-2j,1-5j,1-4j,-2-7j,-7-9j,-11+0j,-11+7j,-2+11j,9+14j,20-4j,9-12j,-6-21j,-25-9j,-20+23j,22+21j,18+1j,9-20j,-23-5j,-12+15j
I1,28-22j,-36-26j,-36+21j,16+51j,61-1j,22-57j,-38-39j,-51+5j,-23+43j,23+53j,57+19j,56-32j,5-73j,-57-48j,-71-11j,-50+59j,19+67j,60+26j,44-30j,10-58j,-34-38j,-49-3j,-30+40j,21+52j,62+2j,23-46j,-28-32j,-35+15j,6+39j,31+15j,8-10j,-10-5j,-10+12j,9+17j,26+4j,10-23j,-15-21j,-27+4j,-15+23j,8+19j,23+7j,24-19j,35,-33-21j,-40-8j,-30+33j,9+47j,42+14j,39-24j,-6-47j,-36-30j,-49+12j,-18+51j,39+45j,60-21j,-4-60j,-51-10j,-24+39j,37+29j,40-17j,12-20j,-28-5j,-17+20j,20+23j,30-13j,33,-25-11j,-24+10j,-4+21j,21+21j,29-2j,20-23j,-8-32j,-28-13j,-26+2j,-14+25j,9+20j,23+8j,15-4j,8-23j,-6-18j,-20-12j,-24+9j,-4+26j,29+15j,28-21j,-10-30j,-27+0j,-3+30j,23+18j,3-18j,-21+13j,-2+30j,23+9j,19-24j,-20-27j,-22+0j,-12+21j,1+18j,21+12j,24+0j,12-20j,-7-30j,-29-13j,-35+7j,-23+26j,12+30j,35+17j,31-14j,4-30j,-14-27j,-37-7j,-27+27j,10+42j,50+7j,23-41j,-31-30j,-33+13j,10+34j,30+9j,-16-20j,-13+17j,19+18j,32-4j,4-30j,-24-20j,-29+12j,-7+21j,14+26j,24+13j,29-20j,9-36j,-23-33j,-52-4j,-50+16j,-10+59j,36+47j,61-9j,34-55j,-17-56j,-56-23j,-57+36j,-4+71j,66+41j,68-45j,-24-79j,-60-2j,-24+48j,44+30j,43-20j,-9-12j,-4+20j,16+16j,13-9j,-4-19j,-20+1j,-6+9j,8+12j,7+4j,8-5j,6-3j,-2-6j,-5-5j,-4-2j,-4+2j,-12+5j,-1+5j,12+10j,16+1j,9-10j,1-16j,-20-9j,-24+11j,-1+28j,27+10j,21-24j,-16-19j,-21+6j,2+19j,16+6j
